iter	Passed	Remaining
714	811	323
715	811	322
716	812	320
717	813	319
718	814	318
719	814	316
720	815	315
721	816	314
722	817	313
723	817	311
724	818	310
725	819	309
726	820	307
727	821	306
728	822	305
729	823	304
730	824	303
731	824	302
732	825	300
733	826	299
734	827	298
735	828	297
736	829	295
737	829	294
738	830	293
739	831	292
740	832	290
741	833	289
742	833	288
743	834	287
744	835	285
745	836	284
746	838	283
747	838	282
748	839	281
749	840	280
750	841	279
751	842	277
752	843	276
753	844	275
754	845	274
755	846	273
756	847	272
757	848	270
758	849	269
759	850	268
760	851	267
761	852	266
762	853	265
763	854	263
764	855	262
765	856	261
766	857	260
767	858	259
768	859	258
769	860	257
770	861	255
771	862	254
772	863	253
773	863	252
774	864	250
775	865	249
776	866	248
777	867	247
778	868	246
779	869	245
780	870	244
781	870	242
782	871	241
783	872	240
784	873	239
785	874	238
786	875	236
787	875	235
788	876	234
789	877	233
790	878	232
791	879	230
792	879	229
793	881	228
794	882	227
795	883	226
796	884	225
797	884	223
798	885	222
799	886	221
800	887	220
801	888	219
802	888	218
803	889	216
804	890	215
805	891	214
806	891	213
807	892	212
808	893	210
809	894	209
810	895	208
811	897	207
812	897	206
813	898	205
814	899	204
815	900	203
816	901	201
817	902	200
818	902	199
819	903	198
820	904	197
821	905	196
822	906	194
823	907	193
824	907	192
825	908	191
826	909	190
827	910	189
828	911	188
829	912	186
830	913	185
831	914	184
832	915	183
833	916	182
834	916	181
835	917	180
836	918	178
837	920	177
838	921	176
839	922	175
840	923	174
841	925	173
842	926	172
843	927	171
844	928	170
845	929	169
846	930	168
847	931	166
848	932	165
849	932	164
850	933	163
851	934	162
852	935	161
853	938	160
854	940	159
855	942	158
856	943	157
857	944	156
858	945	155
859	946	154
860	946	152
861	947	151
862	948	150
863	949	149
864	950	148
865	951	147
866	952	146
867	954	145
868	955	144
869	956	142
870	957	141
871	959	140
872	960	139
873	961	138
874	962	137
875	964	136
876	965	135
877	966	134
878	967	133
879	969	132
880	971	131
881	972	130
882	973	128
883	974	127
884	975	126
885	976	125
886	977	124
887	978	123
888	978	122
889	979	121
890	980	119
891	981	118
892	984	117
893	985	116
894	987	115
895	988	114
896	990	113
897	991	112
898	992	111
899	993	110
900	995	109
901	996	108
902	1001	107
903	1003	106
904	1005	105
905	1006	104
906	1007	103
907	1008	102
908	1010	101
909	1012	100
910	1022	99
911	1023	98
912	1024	97
913	1026	96
914	1027	95
915	1032	94
916	1033	93
917	1035	92
918	1036	91
919	1038	90
920	1039	89
921	1040	88
922	1041	86
923	1042	85
924	1043	84
925	1046	83
926	1048	82
927	1049	81
928	1050	80
929	1052	79
930	1053	78
931	1054	76
932	1055	75
933	1055	74
934	1056	73
935	1057	72
936	1059	71
937	1060	70
938	1061	68
939	1063	67
940	1063	66
941	1064	65
942	1065	64
943	1066	63
944	1067	62
945	1068	60
946	1069	59
947	1070	58
948	1071	57
949	1072	56
950	1074	55
951	1075	54
952	1076	53
953	1077	51
954	1078	50
